CRASH DATETIME,CRASH DAY,CRASH WEEK NUMBER,CRASH WEEKDAY,BOROUGH,VEHICLE,VEHICLE EMOJI,WEATHER,WEATHER EMOJI,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,ORIGINAL FACTOR,FACTOR,HOUR,VALID,MONTH,DAY,CRASH HOUR,LOCATION AT HOUR
2018-09-18 21:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Passing Too Closely,Driving Infraction,21,1,September,18,21:00H,"Manhattan, 21:00H"
2018-09-18 21:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Traffic Control Disregarded,Driving Infraction,21,1,September,18,21:00H,"Manhattan, 21:00H"
2018-09-18 13:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Unspecified,Unspecified,13,1,September,18,13:00H,"Manhattan, 13:00H"
2018-09-18 13:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,13,1,September,18,13:00H,"Manhattan, 13:00H"
2018-09-18 07:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,7,1,September,18,07:00H,"Queens, 07:00H"
2018-09-18 07:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,7,1,September,18,07:00H,"Queens, 07:00H"
2018-09-18 07:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unsafe Lane Changing,Driving Infraction,7,1,September,18,07:00H,"Manhattan, 07:00H"
2018-09-18 07:00:00,2018-09-18,38,Tue,Brooklyn,Taxi,🚕,Rainy,🌧,3.0,0.0,Turning Improperly,Driving Infraction,7,1,September,18,07:00H,"Brooklyn, 07:00H"
2018-09-18 10:00:00,2018-09-18,38,Tue,Staten Island,Fire truck,🚒,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,10,1,September,18,10:00H,"Staten Island, 10:00H"
2018-09-18 10:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian Error,10,1,September,18,10:00H,"Manhattan, 10:00H"
2018-09-18 10:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,10,1,September,18,10:00H,"Manhattan, 10:00H"
2018-09-18 10:00:00,2018-09-18,38,Tue,Bronx,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,10,1,September,18,10:00H,"Bronx, 10:00H"
2018-09-18 14:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,14,1,September,18,14:00H,"Manhattan, 14:00H"
2018-09-18 14:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unsafe Lane Changing,Driving Infraction,14,1,September,18,14:00H,"Manhattan, 14:00H"
2018-09-18 11:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,11,1,September,18,11:00H,"Manhattan, 11:00H"
2018-09-18 11:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,11,1,September,18,11:00H,"Manhattan, 11:00H"
2018-09-18 11:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,11,1,September,18,11:00H,"Queens, 11:00H"
2018-09-18 18:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,2.0,0.0,Driver Inattention/Distraction,Driver Inattention,18,1,September,18,18:00H,"Queens, 18:00H"
2018-09-18 18:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,18,1,September,18,18:00H,"Manhattan, 18:00H"
2018-09-18 18:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unsafe Lane Changing,Driving Infraction,18,1,September,18,18:00H,"Manhattan, 18:00H"
2018-09-18 08:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,8,1,September,18,08:00H,"Queens, 08:00H"
2018-09-18 08:00:00,2018-09-18,38,Tue,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,8,1,September,18,08:00H,"Brooklyn, 08:00H"
2018-09-18 08:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,8,1,September,18,08:00H,"Queens, 08:00H"
2018-09-18 08:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,8,1,September,18,08:00H,"Manhattan, 08:00H"
2018-09-18 08:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Unspecified,Unspecified,8,1,September,18,08:00H,"Manhattan, 08:00H"
2018-09-18 19:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Other Vehicular,Unspecified,19,1,September,18,19:00H,"Manhattan, 19:00H"
2018-09-18 19:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,1.0,0.0,Unspecified,Unspecified,19,1,September,18,19:00H,"Queens, 19:00H"
2018-09-18 20:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Driver Inattention/Distraction,Driver Inattention,20,1,September,18,20:00H,"Manhattan, 20:00H"
2018-09-18 20:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,20,1,September,18,20:00H,"Manhattan, 20:00H"
2018-09-18 20:00:00,2018-09-18,38,Tue,,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,20,1,September,18,20:00H,
2018-09-18 17:00:00,2018-09-18,38,Tue,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,17,1,September,18,17:00H,"Brooklyn, 17:00H"
2018-09-18 17:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Driver Inattention/Distraction,Driver Inattention,17,1,September,18,17:00H,"Manhattan, 17:00H"
2018-09-18 17:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Other Vehicular,Unspecified,17,1,September,18,17:00H,"Manhattan, 17:00H"
2018-09-18 17:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,17,1,September,18,17:00H,"Manhattan, 17:00H"
2018-09-18 12:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Other Vehicular,Unspecified,12,1,September,18,12:00H,"Manhattan, 12:00H"
